cell_lat,cell_lon,n_incidents,gi_z,gi_p,hotspot_class
33.94,-118.26,1566,1.1376849870632073,0.01,Hot Spot
34.05,-118.32,2236,1.1148419893302537,0.01,Hot Spot
34.03,-118.31,1777,1.1112754246284537,0.01,Hot Spot
34.06,-118.23,1177,1.1040573770176696,0.01,Hot Spot
34.04,-118.31,1954,1.103335572256591,0.01,Hot Spot
33.99,-118.31,2519,1.0967968703032918,0.01,Hot Spot
33.97,-118.3,1346,1.0519600569092422,0.01,Hot Spot
34.07,-118.32,1033,1.0463554552349865,0.02,Hot Spot
34.01,-118.31,2860,1.0463554552349865,0.01,Hot Spot
33.99,-118.26,1411,1.0397233432537831,0.03,Hot Spot
34.07,-118.36,3079,1.0255080353708967,0.02,Hot Spot
34.08,-118.32,1214,1.0250834443349686,0.01,Hot Spot
34.02,-118.31,1622,1.0202784891117107,0.01,Hot Spot
33.95,-118.25,1435,1.0092509163730117,0.02,Hot Spot
34.1,-118.29,2338,0.9800767945265473,0.02,Hot Spot
34.0,-118.31,1718,0.971584973807977,0.03,Hot Spot
34.05,-118.22,1685,0.9587057123848128,0.02,Hot Spot
34.06,-118.36,1564,0.9550471529585617,0.02,Hot Spot
34.0,-118.48,767,0.9541130526795194,0.05,Not Significant
33.98,-118.31,1516,0.9457061501681353,0.01,Hot Spot
34.11,-118.31,355,0.9438379496100492,0.01,Hot Spot
34.04,-118.22,1549,0.9277247197965631,0.01,Hot Spot
34.06,-118.35,1993,0.9209737223252998,0.02,Hot Spot
34.04,-118.32,1299,0.8996592523216888,0.02,Hot Spot
34.07,-118.35,2696,0.8869045376023968,0.02,Hot Spot
34.03,-118.34,1988,0.8789392097683787,0.03,Hot Spot
34.04,-118.35,1511,0.8764765817599932,0.02,Hot Spot
34.05,-118.33,1519,0.8642059008216588,0.01,Hot Spot
34.03,-118.23,1091,0.8630595050246522,0.03,Hot Spot
33.93,-118.27,2936,0.8627113403751909,0.04,Hot Spot
33.99,-118.32,1511,0.8566057212785391,0.03,Hot Spot
34.08,-118.26,2097,0.8503217739467973,0.02,Hot Spot
34.04,-118.33,1107,0.8424880693339162,0.01,Hot Spot
33.96,-118.3,1379,0.8419431775044749,0.02,Hot Spot
34.08,-118.35,1786,0.8388578159767278,0.02,Hot Spot
34.0,-118.32,1003,0.8358092523387612,0.03,Hot Spot
33.93,-118.28,1884,0.8304848807482177,0.04,Hot Spot
34.02,-118.34,1324,0.827139103385101,0.03,Hot Spot
34.08,-118.36,2250,0.8203810293965721,0.02,Hot Spot
34.03,-118.35,1197,0.8144013723072463,0.03,Hot Spot
34.02,-118.33,872,0.8123633353347891,0.02,Hot Spot
34.07,-118.37,1861,0.8104017247487997,0.02,Hot Spot
34.23,-118.46,1990,0.8087118524258039,0.03,Hot Spot
33.99,-118.48,1773,0.806011453437299,0.11,Not Significant
34.02,-118.32,752,0.7966534670054344,0.03,Hot Spot
34.08,-118.34,1051,0.7646393028964256,0.02,Hot Spot
34.22,-118.46,1324,0.7622615930952261,0.03,Hot Spot
34.05,-118.35,1704,0.7610727381946266,0.04,Hot Spot
34.04,-118.34,1722,0.7586950283934267,0.04,Hot Spot
34.06,-118.22,119,0.7534371760651788,0.02,Hot Spot
34.03,-118.32,1632,0.7472310704233571,0.04,Hot Spot
34.05,-118.34,2381,0.745277951658086,0.05,Not Significant
34.09,-118.28,1591,0.734210278654883,0.02,Hot Spot
34.17,-118.38,3308,0.7315212020940025,0.06,Not Significant
33.93,-118.26,1176,0.7247447291605837,0.04,Hot Spot
34.06,-118.33,608,0.7197317243297211,0.02,Hot Spot
34.17,-118.37,1982,0.719462816673633,0.04,Hot Spot
34.21,-118.46,1493,0.7170851068724334,0.04,Hot Spot
34.05,-118.45,1335,0.7166180567329119,0.02,Hot Spot
34.01,-118.25,1531,0.7156061147639492,0.03,Hot Spot
34.16,-118.37,3387,0.7144526424496771,0.06,Not Significant
34.06,-118.37,846,0.7085083679466776,0.03,Hot Spot
34.02,-118.24,1590,0.7044322940017642,0.04,Hot Spot
34.02,-118.35,3424,0.7008657292999646,0.08,Not Significant
34.07,-118.24,529,0.6951337503149299,0.02,Hot Spot
34.2,-118.45,2039,0.6808108793696083,0.03,Hot Spot
33.94,-118.25,1852,0.673727285586868,0.04,Hot Spot
34.04,-118.21,2490,0.6733522301717977,0.06,Not Significant
33.98,-118.32,1021,0.665879427939456,0.04,Hot Spot
34.06,-118.34,1555,0.6657945097322706,0.05,Not Significant
34.05,-118.36,953,0.6655539081452443,0.03,Hot Spot
34.0,-118.25,1606,0.6592642995996904,0.04,Hot Spot
34.07,-118.34,791,0.6582367892927429,0.02,Hot Spot
34.04,-118.46,3329,0.6508677759802949,0.14,Not Significant
33.93,-118.29,964,0.6502969369208804,0.09,Not Significant
34.01,-118.32,1302,0.6494902139526159,0.04,Hot Spot
34.11,-118.3,667,0.6461713273551077,0.03,Hot Spot
34.08,-118.33,758,0.6460156439752677,0.02,Hot Spot
34.19,-118.6,2519,0.6343747730735612,0.06,Not Significant
33.99,-118.47,3008,0.6327047149989091,0.14,Not Significant
34.2,-118.46,1408,0.631317717614876,0.04,Hot Spot
34.11,-118.35,84,0.6190045775729499,0.04,Hot Spot
34.18,-118.38,1654,0.6177902472101939,0.04,Hot Spot
33.94,-118.29,1473,0.6170325880949704,0.09,Not Significant
33.95,-118.24,1705,0.6140227094180553,0.15,Not Significant
34.03,-118.22,1199,0.6123880339297303,0.04,Hot Spot
34.03,-118.33,1618,0.606472065495793,0.04,Hot Spot
34.22,-118.45,2299,0.6053822818369103,0.05,Not Significant
34.19,-118.46,1344,0.6005773266136525,0.05,Not Significant
34.16,-118.38,1329,0.5932743607956827,0.04,Hot Spot
34.03,-118.21,1025,0.584273030833998,0.05,Not Significant
34.2,-118.6,1901,0.578923183781299,0.06,Not Significant
33.94,-118.24,1704,0.5774890096154958,0.12,Not Significant
34.05,-118.43,945,0.5703464448555434,0.06,Not Significant
33.95,-118.3,284,0.5654211888387731,0.05,Not Significant
34.19,-118.59,1755,0.5583729776423596,0.07,Not Significant
34.17,-118.39,576,0.5550187084585244,0.04,Hot Spot
33.93,-118.25,1952,0.5505350271191198,0.12,Not Significant
33.97,-118.31,1443,0.5487913732649062,0.05,Not Significant
34.04,-118.44,1906,0.5484800065052255,0.06,Not Significant
34.04,-118.45,1175,0.5457555473580177,0.04,Hot Spot
34.03,-118.36,1471,0.5449771304588155,0.04,Hot Spot
34.09,-118.36,456,0.5410072042728838,0.04,Hot Spot
34.18,-118.6,896,0.5400731039938412,0.05,Not Significant
34.05,-118.44,2046,0.5399174206140007,0.08,Not Significant
34.04,-118.36,1128,0.5399174206140007,0.04,Hot Spot
34.21,-118.45,930,0.5396060538543197,0.04,Hot Spot
34.19,-118.45,1697,0.5357918110482286,0.06,Not Significant
34.23,-118.45,1765,0.5350133941490265,0.06,Not Significant
34.01,-118.33,1293,0.5333787186607019,0.05,Not Significant
33.95,-118.23,908,0.5311991513429356,0.14,Not Significant
33.99,-118.25,1002,0.529538528624637,0.06,Not Significant
34.07,-118.23,671,0.528583670561616,0.06,Not Significant
34.22,-118.47,1874,0.5276184336066048,0.08,Not Significant
34.2,-118.47,1765,0.5238820324904344,0.06,Not Significant
34.19,-118.44,1462,0.5227144071416311,0.05,Not Significant
34.18,-118.39,864,0.5194804387513089,0.06,Not Significant
34.18,-118.37,1049,0.5142919362922628,0.06,Not Significant
34.07,-118.38,1340,0.5099950750086663,0.08,Not Significant
34.19,-118.38,1054,0.5069974622950112,0.06,Not Significant
34.0,-118.47,1543,0.5024755677623725,0.16,Not Significant
34.08,-118.37,2135,0.500288923927341,0.11,Not Significant
33.93,-118.23,941,0.49869246163224984,0.15,Not Significant
34.16,-118.39,1013,0.4964817576385151,0.04,Hot Spot
33.94,-118.23,848,0.49103283934409947,0.14,Not Significant
34.07,-118.33,243,0.4890797205788283,0.05,Not Significant
34.1,-118.28,836,0.4882305385069713,0.04,Hot Spot
34.19,-118.61,2456,0.46355472280225996,0.1,Not Significant
34.1,-118.36,1229,0.4556927121203171,0.09,Not Significant
34.05,-118.21,1802,0.4522252186602341,0.1,Not Significant
34.05,-118.37,1366,0.45137603658837755,0.11,Not Significant
34.21,-118.47,1013,0.4509443690351833,0.08,Not Significant
34.05,-118.46,1865,0.44679045340034956,0.11,Not Significant
34.05,-118.2,1664,0.4377042052314793,0.1,Not Significant
34.04,-118.2,1115,0.43473206797998004,0.11,Not Significant
33.92,-118.27,716,0.4305238990461109,0.14,Not Significant
34.2,-118.44,1288,0.4272026536095146,0.09,Not Significant
34.03,-118.46,149,0.4269302076947939,0.13,Not Significant
33.93,-118.24,981,0.41670514571170136,0.17,Not Significant
34.0,-118.46,1197,0.41630481702068317,0.15,Not Significant
34.18,-118.46,867,0.4119145457091821,0.08,Not Significant
34.17,-118.36,663,0.40509561367217073,0.08,Not Significant
33.97,-118.32,582,0.4044417434768405,0.11,Not Significant
34.2,-118.59,1524,0.4030575766997137,0.1,Not Significant
34.03,-118.45,1255,0.4028537730024681,0.12,Not Significant
33.92,-118.26,195,0.40194302523040154,0.14,Not Significant
34.23,-118.47,2172,0.3985569117188715,0.13,Not Significant
34.08,-118.24,128,0.39787756606138636,0.1,Not Significant
33.92,-118.28,808,0.3970623512724035,0.13,Not Significant
33.99,-118.33,1810,0.397000077920467,0.15,Not Significant
34.04,-118.37,1038,0.3893857453428162,0.12,Not Significant
34.21,-118.44,574,0.3857130328820346,0.09,Not Significant
34.03,-118.2,1925,0.38420573470448843,0.15,Not Significant
33.99,-118.46,1258,0.38165818848891725,0.13,Not Significant
34.06,-118.38,1418,0.3765630960577754,0.11,Not Significant
33.96,-118.31,1767,0.37562899577873277,0.17,Not Significant
33.74,-118.29,3020,0.3750345683284328,0.25,Not Significant
34.19,-118.54,965,0.3747798137068757,0.1,Not Significant
33.98,-118.47,980,0.37453719025777366,0.18,Not Significant
33.73,-118.29,2138,0.37418538625657594,0.2,Not Significant
34.19,-118.47,1398,0.3663304520918983,0.1,Not Significant
34.0,-118.33,851,0.3639952013942917,0.13,Not Significant
34.19,-118.39,1430,0.357845707890594,0.11,Not Significant
34.09,-118.27,864,0.35720174481943573,0.13,Not Significant
34.24,-118.46,781,0.35372009832482204,0.11,Not Significant
